Company,Amount,Lead investors,Valuation,Industry,Date reported
Restaurant365,"$135,000,000 ","KKR, L Catterton","$1,000,000,000 ",Accounting,5/19/2023
Madhive,"$300,000,000 ",Goldman Sachs Asset Management,"$1,000,000,000 ",Advertising,6/13/2023
"Ursa Major,","$100,000,000 ","BlackRock, Space Capital",n/a,Aerospace,4/26/2023
Indigo,"$250,000,000 ","Flagship Pioneering, State of Michigan Retirement System, Lingotto",na,Agriculture,9/15/2023
Chronosphere,"$115,000,000 ",GV,n/a,Analytics,1/9/2023
AlphaSense,"$100,000,000 ",n/a,"$1,800,000,000 ",Analytics,4/11/2023
Skims,"$270,000,000 ",Wellington Management,"$4,000,000,000 ",Apparel,7/19/2023
SandboxAQ,"$500,000,000 ",n/a,n/a,Artifical intelligence,2/14/2023
Humane,"$100,000,000 ",Kindred Ventures,n/a,Artifical intelligence,3/8/2023
OpenAI,"$10,000,000,000 ",Microsoft,n/a,Artificial intelligence,1/23/2023
Inflection AI,"$1,300,000,000 ","Microsoft, Reid Hoffman, Bill Gates, Eric Schmidt, Nvidia","$4,000,000,000 ",Artificial intelligence,6/29/2023
Anthropic,"$1,250,000,000 ",Amazon,"$4,000,000,000 ",Artificial intelligence,9/25/2023
Anthropic,"$450,000,000 ",Spark Capital,"$4,100,000,000 ",Artificial intelligence,5/23/2023
Adept AI,"$350,000,000 ","General Catalyst, Spark Capital","$1,000,000,000 ",Artificial intelligence,3/14/2023
Anthropic,"$300,000,000 ",Google,,Artificial intelligence,2/3/2023
OpenAI,"$300,000,000 ",n/a,"$2,800,000,000 ",Artificial intelligence,4/28/2023
Hugging Face,"$235,000,000 ",Salesforce Ventures,"$4,500,000,000 ",Artificial intelligence,8/23/2023
Imbue,"$200,000,000 ",n/a,"$1,000,000,000 ",Artificial intelligence,9/7/2023
Character.AI,"$150,000,000 ",Andreessen Horowitz,"$1,000,000,000 ",Artificial intelligence,3/21/2023
AlphaSense,"$150,000,000 ",Bond Capital,"$2,500,000,000 ",Artificial intelligence,9/28/2023
Runway,"$141,000,000 ",n/a,"$1,500,000,000 ",Artificial intelligence,6/29/2023
Pony.ai,"$139,000,000 ",GAC Toyota Motor,n/a,Artificial intelligence,8/7/2023
D-Matrix,"$110,000,000 ",Temasek,n/a,Artificial intelligence,9/6/2023
Insider,"$105,000,000 ","Qatar Investment Authority, Esas Private Equity.","$1,900,000,000 ",Artificial intelligence,5/24/2023
Celestial AI,"$100,000,000 ","IAG Capital Partners, Koch Disruptive Technologies, Temasek’s Xora Innovation",n/a,Artificial intelligence,6/28/2023
Typeface,"$100,000,000 ",Salesforce Ventures,n/a,Artificial intelligence,6/29/2023
Anthropic,"$100,000,000 ",SK Telecom,n/a,Artificial intelligence,8/13/2023
Modular,"$100,000,000 ",General Catalyst,"$600,000,000 ",Artificial intelligence,8/24/2023
Writer,"$100,000,000 ",Iconiq Growth,"$500,000,000 ",Artificial intelligence,9/18/2023
Pryon,"$100,000,000 ",US Innovative Technology Fund,"$625,000,000 ",Artificial intelligence,9/19/2023
Jerry,"$110,000,000 ",Park West Asset Management,n/a,Auto insurance,8/2/2023
Impel,"$104,000,000 ",Silversmith Capital Partners,n/a,Automotive,1/18/2023
UVeye,"$100,000,000 ",Hanaco VC,n/a,Automotive,5/9/2023
Stack AV,"$1,000,000,000 ",SoftBand Group,n/a,Autonomous vehicles,9/7/2023
Ascend Elements,"$460,000,000 ","Decarbonization Partners, Temasek, Qatar Investment Authority",n/a,Batteries,9/6/2023
Denodo Technologies,"$336,000,000 ",TPG,n/a,Big data,9/13/2023
ElevateBio,"$401,000,000 ",AyurMaya Capital Management Fund,n/a,Biotech,5/24/2023
ReNAgade Therapeutic,"$300,000,000 ","MPM BioImpact, F2 Ventures",n/a,Biotech,5/23/2023
Generate Biomedicines,"$273,000,000 ",n/a,n/a,Biotech,9/14/2023
Orbital Therapeutics,"$270,000,000 ",Arch Venture Partners,n/a,Biotech,4/26/2023
Cellares,"$255,000,000 ",Koch Disruptive Technologies,n/a,Biotech,8/23/2023
Heartflow,"$215,000,000 ",Bain Capital Life Sciences,n/a,Biotech,4/6/2023
Nimbus Therapeutics,"$210,000,000 ","GV, SR One, Atlas Venture",n/a,Biotech,9/6/2023
CARGO Therapeutics,"$200,000,000 ","Third Rock Ventures, RTW Investments, Perceptive Xontogeny Venture Fund",n/a,Biotech,3/1/2023
Upstream Bio,"$200,000,000 ","Enavate Sciences, Venrock Healthcare Capital Partners",n/a,Biotech,6/8/2023
ADARx Pharmaceuticals,"$200,000,000 ","Bain Capital Life Sciences, TCGX",n/a,Biotech,8/9/2023
Genesis Therapeutics,"$200,000,000 ",Andreessen Horowitz Bio + Health,n/a,Biotech,8/21/2023
Aera Therapeutics,"$193,000,000 ","ARCH Venture Partners, Google Ventures, Lux Capital",,Biotech,2/16/2023
Asimov,"$175,000,000 ",Canada Pension Plan Investment Board,n/a,Biotech,1/5/2023
Avalyn Pharma,"$175,000,000 ","Perceptive, Xontogeny Venture Funds, SR One, Eventide Asset Management",n/a,Biotech,9/27/2023
TORL BioTherapeutics,"$158,000,000 ",Goldman Sachs Asset Management,n/a,Biotech,4/13/2023
Abcuro,"$155,000,000 ","Redmile Group, Bain Capital Life Sciences",n/a,Biotech,8/17/2023
Pathalys Pharma,"$150,000,000 ",Abingworth,n/a,Biotech,1/18/2023
Colossal Biosciences,"$150,000,000 ",US Innovative Technology Fund,"$1,000,000,000 ",Biotech,1/31/2023
Carmot Therapeutics,"$150,000,000 ",Deep Track Capital,n/a,Biotech,5/25/2023
Alkeus Pharmaceuticals,"$150,000,000 ",Bain Capital Life Sciences,n/a,Biotech,6/5/2023
Septerna,"$150,000,000 ",RA Capital Management,n/a,Biotech,7/11/2023
Kriya Therapeutics,"$150,000,000 ",Patient Square Capital,n/a,Biotech,7/26/2023
Rapport Therapeutics,"$150,000,000 ",Cormorant Asset Management,n/a,Biotech,8/23/2023
Bitterroot Bio,"$145,000,000 ","Arch Venture Partners, Deerfield Management",n/a,Biotech,6/7/2023
Harbinger Health,"$140,000,000 ",n/a,n/a,Biotech,9/25/2023
Chroma Medicine,"$135,000,000 ",GV,n/a,Biotech,3/1/2023
Flare Therapeutics,"$123,000,000 ","GordonMD Global Investments, Pfizer Venture Investments",n/a,Biotech,3/22/2023
Tourmaline Bio,"$112,000,000 ","TCG Crossover, Deep Track Capital, Cowen Healthcare Investmentss",n/a,Biotech,1/1/2023
Alltrna,"$109,000,000 ",n/a,n/a,Biotech,8/9/2023
Bicara Therapeutics,"$108,000,000 ","Red Tree Venture Capital, RA Capital Management",,Biotech,3/6/2023
Vedanta Biosciences,"$106,500,000 ","AXA IM Alts, AMR Action Fund",n/a,Biotech,4/25/2023
Eikon Therapeutics,"$106,000,000 ",n/a,n/a,Biotech,6/1/2023
R-Zero,"$105,000,000 ",CDPQ,n/a,Biotech,2/14/2023
CG Oncology,"$105,000,000 ","Foresite Capital, TCGX",n/a,Biotech,8/2/2023
Metagenomi,"$100,000,000 ","Novo Holdings A/S, Catalio Capital Management, Symbiosis",,Biotech,1/5/2023
Synthekine,"$100,000,000 ",The Column Group,n/a,Biotech,1/6/2023
